"Expected GGWP (USD)","Policy Underwriting Month","Policy Underwriting Year","Reserving Class Code","Reserving Class Full Name level 1"
"221446.01995343223","6","2017","DCLIA","GENERAL LIABILITY (LIA)"
"57992.908861016454","6","2017","DCPRO","PROPERTY (PRO)"
"50604.12884856","6","2017","ENCON","ENERGY (ENR)"
"6073046.442049326","6","2017","ENOFF","ENERGY (ENR)"
"531910.8683199093","6","2017","ENONS","ENERGY (ENR)"
"34496.499785533866","6","2017","PRTOT","PROPERTY (PRO)"
"108282.19396669377","6","2018","DCBON","BONDS (BON)"
"473821.96737862384","6","2018","DCFIL","FINANCIAL LINES (FIL)"
"169179.03616437057","6","2018","DCLIA","GENERAL LIABILITY (LIA)"
"372099.9780504107","6","2018","DCMAR","MARINE (MAR)"
"113364.41135339494","6","2018","DCPRO","PROPERTY (PRO)"
"119361.61106865","6","2018","ENCON","ENERGY (ENR)"
"5774600.836333652","6","2018","ENOFF","ENERGY (ENR)"
"393601.45696396375","6","2018","ENONS","ENERGY (ENR)"
"41242.96488199356","6","2018","LISHT","LIFE (LIF)"
"850837.1133634555","6","2018","PRTOT","PROPERTY (PRO)"
"469726.4524242798","6","2019","DCBON","BONDS (BON)"
"555280.5758769059","6","2019","DCFIL","FINANCIAL LINES (FIL)"
"954305.56728872","6","2019","DCMAR","MARINE (MAR)"
"254785.73948187765","6","2019","DCPRO","PROPERTY (PRO)"
"105915.360985","6","2019","ENCON","ENERGY (ENR)"
"10655036.913145455","6","2019","ENOFF","ENERGY (ENR)"
"3063125.790466771","6","2019","ENONS","ENERGY (ENR)"
"907686.874442082","6","2019","PRTOT","PROPERTY (PRO)"
"243707.09536686083","6","2020","DCBON","BONDS (BON)"
"666860.334105925","6","2020","DCFIL","FINANCIAL LINES (FIL)"
"73140.52948273024","6","2020","DCPRO","PROPERTY (PRO)"
"125206.55437279084","6","2020","ENCON","ENERGY (ENR)"
